"filename", "language", "Markdown", "Docker", "JSON with Comments", "JavaScript", "TypeScript React", "YAML", "JSON", "Ignore", "SCSS", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"e:\GitHub\Meally\src\common\shared\jsons\user.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\GitHub\Meally\src\common\shared\libs\config\firebase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 6, 27
"e:\GitHub\Meally\src\common\shared\libs\config\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"e:\GitHub\Meally\src\common\shared\libs\service\Algolia.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"e:\GitHub\Meally\src\common\shared\libs\service\Authservice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"e:\GitHub\Meally\src\common\shared\libs\service\RecipeService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 8, 50
"e:\GitHub\Meally\src\common\shared\libs\service\UserOptionsService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 5, 40
"e:\GitHub\Meally\src\common\shared\libs\types\algolia.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"e:\GitHub\Meally\src\common\shared\libs\types\bookmark.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"e:\GitHub\Meally\src\common\shared\libs\types\recipe.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 2, 4, 33
"e:\GitHub\Meally\src\common\styles\globals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 9, 50
"e:\GitHub\Meally\src\common\styles\modules\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
